variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
tnhusscpbl,Tendency of Specific Humidity Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,mon,CFmon,8318.90,6374
zg,Geopotential Height,6hr,6hrPlevPt,8123.27,21245
cfc11,Mole Concentration of CFC11 in Sea Water,mon,Omon,8120.73,17531
rlutcs,TOA Outgoing Clear-Sky Longwave Radiation,mon,Amon,8078.56,673316
tntrs,Tendency of Air Temperature Due to Shortwave Radiative Heating,mon,AERmon,8025.58,6940
msftmz,Ocean Meridional Overturning Mass Streamfunction,mon,Omon,8021.27,391238
osalttend,Tendency of Sea Water Salinity Expressed as Salt Content,mon,Emon,8008.52,1505
wfo,Water Flux into Sea Water,mon,Omon,7948.27,250139
sithick,Sea Ice Thickness,mon,SImon,7947.57,731809
osaltrmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Residual Mean Advection,mon,Emon,7937.43,1451
tauv,Surface Downward Northward Wind Stress,mon,Amon,7826.38,591151
clisccp,ISCCP Cloud Area Percentage,day,CFday,7716.12,6248
rsdscs,Surface Downwelling Clear-Sky Shortwave Radiation,mon,Amon,7683.67,663674
wap,Omega (=dp/dt),3hrPt,E3hrPt,7661.68,751
thetao,Sea Water Potential Temperature,day,Oday,7571.22,2433
expcalc,Downward Flux of Calcite,mon,Emon,7525.83,2832
ta850,Air Temperature,day,Eday,7505.70,44122
osaltdiff,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Dianeutral Mixing,mon,Emon,7494.55,1453
rlu4co2,Upwelling Longwave Radiation 4XCO2 Atmosphere,mon,CFmon,7462.34,5974
tntc,Tendency of Air Temperature Due to Convection,mon,CFmon,7460.81,8188
ta,Air Temperature,6hr,6hrPlevPt,7428.85,27857
osaltpmdiff,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Mesoscale Diffusion,mon,Emon,7424.12,1365
mlotst,Ocean Mixed Layer Thickness Defined by Sigma T,day,Eday,7414.01,3892
rsutcs,TOA Outgoing Clear-Sky Shortwave Radiation,day,CFday,7310.11,23539
o3loss,O3 Destruction Rate,mon,AERmon,7267.66,10568
co2,Mole Fraction of CO2,mon,AERmon,7254.00,11909
zg500,Geopotential Height at 500hPa,6hrPt,6hrPlevPt,7202.17,13137
psl,Sea Level Pressure,3hrPt,CF3hr,7202.13,3026
rlut,TOA Outgoing Longwave Radiation,3hr,E3hr,7133.46,7979
rsuscs,Surface Upwelling Clear-Sky Shortwave Radiation,mon,Amon,7126.29,569999
tnhusc,Tendency of Specific Humidity Due to Convection,mon,CFmon,7122.01,7722
lossch4,Monthly Loss of Atmospheric Methane,mon,AERmon,7079.24,9953
pfull,Pressure at Model Full-Levels,mon,AERmon,7056.41,4403
rv850,Relative Vorticity at 850hPa,6hrPt,6hrPlevPt,7048.18,12661
cfc12,Mole Concentration of CFC12 in Sea Water,mon,Omon,7040.91,4040
no3,Dissolved Nitrate Concentration,yr,Oyr,7038.34,37493
